LIMIT,K,MEAN_ERROR,STD_ERROR,FAILRATE,MAX_ERROR,MIN_ERROR,MEDIAN_ERROR,25th_PERCENTILE,75th_PERCENTILE,90th_PERCENTILE,95th_PERCENTILE,99th_PERCENTILE,99.99th_PERCENTILE
20,14,11.87241789440396,11.533315687135763,0.03,62.41233422708498,0.5312569703006332,8.352169276885613,4.477332352340769,14.28559528486488,25.697927401350025,34.230202542051316,56.25137888263729,62.35072467364047
20,15,11.838587726747178,11.379327514845388,0.03,62.438911682805625,0.6013165317529723,8.18212176614762,4.518448263142812,14.832674140843604,25.90812938687215,33.97173853423776,56.157274870025354,62.376095314677784
21,1,13.356509231025818,15.59091834562662,0.0,84.59884008314087,0.35509034645897347,7.828686897889577,3.4555255670619314,15.375462657243146,33.2267155403413,50.289828619768656,66.23269432393079,84.41517862554848
21,2,11.92877452303962,14.25263608560954,0.0,83.31360885497291,0.35509034645897347,6.645548704908821,4.34342648748008,12.383376164096656,31.806529292061636,43.94393512026017,60.039326940470545,83.08086603582751
21,3,11.91531624275061,13.653474706260944,0.0,63.50719838361496,0.35509034645897347,6.852625305422402,3.5305573150932164,12.484693546985916,32.99377734320301,43.66958250640706,58.41872284784615,63.45631362825719
21,4,12.103205100723406,13.493735194114558,0.01,63.153500065864215,0.9469747335957335,6.7978480945057305,3.593707609354264,13.339154662477416,29.546857645547043,44.358565556463944,58.95501727318772,63.1115152379374
21,5,12.048185559060917,12.691395632372748,0.01,59.40971706131795,1.1818793281888027,7.518175518939822,3.9827646523062956,14.039404316513895,29.235841941938943,38.270049089013675,58.01219214018618,59.395741812106614
21,6,11.845718599139357,12.66104037626838,0.01,60.3312722265378,1.1680183031302303,7.733669015392936,3.5345504633125095,14.792406516875715,29.728028329983687,40.3545297616089,59.79185081928329,60.325878012465246
21,7,11.804288318651311,12.76800794201344,0.03,62.51827463881292,0.7868112873112357,7.384025926512113,3.7171194628386277,14.238473845701549,30.32407610733764,37.8969113006835,60.14983527870028,62.494590245211775
21,8,11.829922912222695,12.847263805673279,0.03,64.40862091448875,0.7517370278081411,7.571312005703737,3.8866433446594773,14.223123082012906,29.376959140130072,38.21870277004627,60.363458571696235,64.3681692910608
21,9,11.820771571427652,12.438950420226126,0.03,60.73332016230129,0.5996685508090707,7.884065812500957,3.8363523222060825,14.031066067760284,28.16375092897899,36.9799697846337,60.343664903815366,60.72942360971643
21,10,11.866880087459547,12.484892750959032,0.03,63.796257737737854,0.2222472337261797,8.079843754355375,4.388200383613646,14.330800783268488,28.7091637157576,36.056061836260476,60.58039672834585,63.76409912764392
21,11,11.80908516189437,12.331742104060519,0.03,62.45999205478987,0.4782516069193328,8.159224553227654,4.614017785206589,13.951547737054433,27.669846744036235,35.42251723341375,60.62336455876935,62.44162577982966
